parameter,standard,estimator,fitted_to,true,recovered_mean,recovered_sd,recovered_sem,n_seeds
kappa (trust in the label),narrow,least squares on the reader's own behaviour: engagement trace and answer,the reader,0.1,0.1,0.0,0.0,5
kappa (trust in the label),narrow,least squares on the reader's own behaviour: engagement trace and answer,the reader,0.2,0.2,0.0,0.0,5
kappa (trust in the label),narrow,least squares on the reader's own behaviour: engagement trace and answer,the reader,0.3,0.3,0.0,0.0,5
kappa (trust in the label),narrow,least squares on the reader's own behaviour: engagement trace and answer,the reader,0.4,0.38,0.04472135954999581,0.020000000000000004,5
kappa (trust in the label),narrow,least squares on the reader's own behaviour: engagement trace and answer,the reader,0.5,0.41999999999999993,0.08366600265340755,0.03741657386773941,5
kappa (trust in the label),narrow,least squares on the reader's own behaviour: engagement trace and answer,the reader,0.6,0.6,0.0,0.0,5
kappa (trust in the label),narrow,least squares on the reader's own behaviour: engagement trace and answer,the reader,0.7,0.62,0.04472135954999579,0.019999999999999997,5
kappa (trust in the label),narrow,least squares on the reader's own behaviour: engagement trace and answer,the reader,0.8,0.62,0.04472135954999579,0.019999999999999997,5
kappa (trust in the label),narrow,least squares on the reader's own behaviour: engagement trace and answer,the reader,0.9,0.62,0.04472135954999579,0.019999999999999997,5
kappa (trust in the label),wide,least squares on the reader's own behaviour: engagement trace and graded confidence,the reader,0.1,0.1,0.0,0.0,5
kappa (trust in the label),wide,least squares on the reader's own behaviour: engagement trace and graded confidence,the reader,0.2,0.2,0.0,0.0,5
kappa (trust in the label),wide,least squares on the reader's own behaviour: engagement trace and graded confidence,the reader,0.3,0.3,0.0,0.0,5
kappa (trust in the label),wide,least squares on the reader's own behaviour: engagement trace and graded confidence,the reader,0.4,0.4,0.0,0.0,5
kappa (trust in the label),wide,least squares on the reader's own behaviour: engagement trace and graded confidence,the reader,0.5,0.5,0.0,0.0,5
kappa (trust in the label),wide,least squares on the reader's own behaviour: engagement trace and graded confidence,the reader,0.6,0.6,0.0,0.0,5
kappa (trust in the label),wide,least squares on the reader's own behaviour: engagement trace and graded confidence,the reader,0.7,0.7,0.0,0.0,5
kappa (trust in the label),wide,least squares on the reader's own behaviour: engagement trace and graded confidence,the reader,0.8,0.8,0.0,0.0,5
kappa (trust in the label),wide,least squares on the reader's own behaviour: engagement trace and graded confidence,the reader,0.9,0.9,0.0,0.0,5
omega (how readable the content is),not applicable,"maximum likelihood under an ANALYST'S model containing omega, which the observer's model does not. Asks whether the value is identifiable in principle, a strictly easier question.",an analyst holding the model,0.0,0.0015625,0.00625,0.0015625,16
omega (how readable the content is),not applicable,"maximum likelihood under an ANALYST'S model containing omega, which the observer's model does not. Asks whether the value is identifiable in principle, a strictly easier question.",an analyst holding the model,0.1,0.096875,0.02015564437074637,0.005038911092686593,16
omega (how readable the content is),not applicable,"maximum likelihood under an ANALYST'S model containing omega, which the observer's model does not. Asks whether the value is identifiable in principle, a strictly easier question.",an analyst holding the model,0.2,0.1859375,0.02230237281845439,0.005575593204613597,16
